Ref_Date,GEO,Geographical classification,SEX,CAUSES,UNIT,Vector,Coordinate,Value
1997/1999,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,Cancer incidence,v79917219,15.3.3.1,50.3
1998/2000,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,Cancer incidence,v79917219,15.3.3.1,47.1
1999/2001,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,Cancer incidence,v79917219,15.3.3.1,53.2
2000/2002,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,Cancer incidence,v79917219,15.3.3.1,45.4
2001/2003,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,Cancer incidence,v79917219,15.3.3.1,44
2002/2004,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,Cancer incidence,v79917219,15.3.3.1,37.2
2003/2005,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,Cancer incidence,v79917219,15.3.3.1,44.3
2004/2006,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,Cancer incidence,v79917219,15.3.3.1,48.1
2005/2007,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,Cancer incidence,v79917219,15.3.3.1,49.6
1996/1998,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,"Low 95% confidence interval, cancer incidence",v79917220,15.3.3.2,38.6
1997/1999,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,"Low 95% confidence interval, cancer incidence",v79917220,15.3.3.2,41.6
1998/2000,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,"Low 95% confidence interval, cancer incidence",v79917220,15.3.3.2,38.9
1999/2001,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,"Low 95% confidence interval, cancer incidence",v79917220,15.3.3.2,44.5
2000/2002,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,"Low 95% confidence interval, cancer incidence",v79917220,15.3.3.2,37.4
2001/2003,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,"Low 95% confidence interval, cancer incidence",v79917220,15.3.3.2,36.2
2002/2004,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,"Low 95% confidence interval, cancer incidence",v79917220,15.3.3.2,30.1
2003/2005,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,"Low 95% confidence interval, cancer incidence",v79917220,15.3.3.2,36.6
2004/2006,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,"Low 95% confidence interval, cancer incidence",v79917220,15.3.3.2,40.2
2005/2007,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,"Low 95% confidence interval, cancer incidence",v79917220,15.3.3.2,41.6
1996/1998,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,"High 95% confidence interval, cancer incidence",v79917221,15.3.3.3,57.1
1997/1999,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,"High 95% confidence interval, cancer incidence",v79917221,15.3.3.3,60.5
1998/2000,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,"High 95% confidence interval, cancer incidence",v79917221,15.3.3.3,56.8
1999/2001,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,"High 95% confidence interval, cancer incidence",v79917221,15.3.3.3,63.8
2000/2002,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,"High 95% confidence interval, cancer incidence",v79917221,15.3.3.3,55.4
2001/2003,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,"High 95% confidence interval, cancer incidence",v79917221,15.3.3.3,53.8
2002/2004,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,"High 95% confidence interval, cancer incidence",v79917221,15.3.3.3,45.5
2003/2005,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,"High 95% confidence interval, cancer incidence",v79917221,15.3.3.3,53.2
2004/2006,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,"High 95% confidence interval, cancer incidence",v79917221,15.3.3.3,57.4
2005/2007,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,"High 95% confidence interval, cancer incidence",v79917221,15.3.3.3,59
1996/1998,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,Statistically different from total,v79917222,15.3.3.4,1
1997/1999,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,Statistically different from total,v79917222,15.3.3.4,1
1998/2000,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,Statistically different from total,v79917222,15.3.3.4,0
1999/2001,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,Statistically different from total,v79917222,15.3.3.4,1
2000/2002,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,Statistically different from total,v79917222,15.3.3.4,0
2001/2003,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,Statistically different from total,v79917222,15.3.3.4,0
2002/2004,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,Statistically different from total,v79917222,15.3.3.4,0
2003/2005,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,Statistically different from total,v79917222,15.3.3.4,0
2004/2006,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,Statistically different from total,v79917222,15.3.3.4,0
2005/2007,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,Statistically different from total,v79917222,15.3.3.4,0
1996/1998,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,Statistically different from reference period five years previous,v79917223,15.3.3.5,..
1997/1999,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,Statistically different from reference period five years previous,v79917223,15.3.3.5,0
1998/2000,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,Statistically different from reference period five years previous,v79917223,15.3.3.5,0
1999/2001,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,Statistically different from reference period five years previous,v79917223,15.3.3.5,0
2000/2002,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,Statistically different from reference period five years previous,v79917223,15.3.3.5,0
2001/2003,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,Statistically different from reference period five years previous,v79917223,15.3.3.5,0
2002/2004,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,Statistically different from reference period five years previous,v79917223,15.3.3.5,0
2003/2005,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,Statistically different from reference period five years previous,v79917223,15.3.3.5,0
2004/2006,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,Statistically different from reference period five years previous,v79917223,15.3.3.5,0
2005/2007,"Peterborough, Ontario",35529,Females,Bronchus and lung cancer,Statistically different from reference period five years previous,v79917223,15.3.3.5,0
1996/1998,"Peterborough, Ontario",35529,Females,Female breast cancer,Cancer incidence,v79917224,15.3.4.1,117.7
1997/1999,"Peterborough, Ontario",35529,Females,Female breast cancer,Cancer incidence,v79917224,15.3.4.1,115.3
1998/2000,"Peterborough, Ontario",35529,Females,Female breast cancer,Cancer incidence,v79917224,15.3.4.1,115
1999/2001,"Peterborough, Ontario",35529,Females,Female breast cancer,Cancer incidence,v79917224,15.3.4.1,110.3
2000/2002,"Peterborough, Ontario",35529,Females,Female breast cancer,Cancer incidence,v79917224,15.3.4.1,108.9
2001/2003,"Peterborough, Ontario",35529,Females,Female breast cancer,Cancer incidence,v79917224,15.3.4.1,104.6
2002/2004,"Peterborough, Ontario",35529,Females,Female breast cancer,Cancer incidence,v79917224,15.3.4.1,101.5
2003/2005,"Peterborough, Ontario",35529,Females,Female breast cancer,Cancer incidence,v79917224,15.3.4.1,106.5
2004/2006,"Peterborough, Ontario",35529,Females,Female breast cancer,Cancer incidence,v79917224,15.3.4.1,100.4
2005/2007,"Peterborough, Ontario",35529,Females,Female breast cancer,Cancer incidence,v79917224,15.3.4.1,108.7
1996/1998,"Peterborough, Ontario",35529,Females,Female breast cancer,"Low 95% confidence interval, cancer incidence",v79917225,15.3.4.2,103.5
1997/1999,"Peterborough, Ontario",35529,Females,Female breast cancer,"Low 95% confidence interval, cancer incidence",v79917225,15.3.4.2,101.5
1998/2000,"Peterborough, Ontario",35529,Females,Female breast cancer,"Low 95% confidence interval, cancer incidence",v79917225,15.3.4.2,101.3
1999/2001,"Peterborough, Ontario",35529,Females,Female breast cancer,"Low 95% confidence interval, cancer incidence",v79917225,15.3.4.2,97.2
2000/2002,"Peterborough, Ontario",35529,Females,Female breast cancer,"Low 95% confidence interval, cancer incidence",v79917225,15.3.4.2,95.7
2001/2003,"Peterborough, Ontario",35529,Females,Female breast cancer,"Low 95% confidence interval, cancer incidence",v79917225,15.3.4.2,91.6
2002/2004,"Peterborough, Ontario",35529,Females,Female breast cancer,"Low 95% confidence interval, cancer incidence",v79917225,15.3.4.2,88.8
2003/2005,"Peterborough, Ontario",35529,Females,Female breast cancer,"Low 95% confidence interval, cancer incidence",v79917225,15.3.4.2,93.3
2004/2006,"Peterborough, Ontario",35529,Females,Female breast cancer,"Low 95% confidence interval, cancer incidence",v79917225,15.3.4.2,87.7
2005/2007,"Peterborough, Ontario",35529,Females,Female breast cancer,"Low 95% confidence interval, cancer incidence",v79917225,15.3.4.2,95.1
1996/1998,"Peterborough, Ontario",35529,Females,Female breast cancer,"High 95% confidence interval, cancer incidence",v79917226,15.3.4.3,133.9
1997/1999,"Peterborough, Ontario",35529,Females,Female breast cancer,"High 95% confidence interval, cancer incidence",v79917226,15.3.4.3,130.9
1998/2000,"Peterborough, Ontario",35529,Females,Female breast cancer,"High 95% confidence interval, cancer incidence",v79917226,15.3.4.3,130.4
1999/2001,"Peterborough, Ontario",35529,Females,Female breast cancer,"High 95% confidence interval, cancer incidence",v79917226,15.3.4.3,125.4
2000/2002,"Peterborough, Ontario",35529,Females,Female breast cancer,"High 95% confidence interval, cancer incidence",v79917226,15.3.4.3,124.2
2001/2003,"Peterborough, Ontario",35529,Females,Female breast cancer,"High 95% confidence interval, cancer incidence",v79917226,15.3.4.3,119.7
2002/2004,"Peterborough, Ontario",35529,Females,Female breast cancer,"High 95% confidence interval, cancer incidence",v79917226,15.3.4.3,116.1
2003/2005,"Peterborough, Ontario",35529,Females,Female breast cancer,"High 95% confidence interval, cancer incidence",v79917226,15.3.4.3,121.6
2004/2006,"Peterborough, Ontario",35529,Females,Female breast cancer,"High 95% confidence interval, cancer incidence",v79917226,15.3.4.3,115.2
2005/2007,"Peterborough, Ontario",35529,Females,Female breast cancer,"High 95% confidence interval, cancer incidence",v79917226,15.3.4.3,124.3
1996/1998,"Peterborough, Ontario",35529,Females,Female breast cancer,Statistically different from total,v79917227,15.3.4.4,1
1997/1999,"Peterborough, Ontario",35529,Females,Female breast cancer,Statistically different from total,v79917227,15.3.4.4,1
1998/2000,"Peterborough, Ontario",35529,Females,Female breast cancer,Statistically different from total,v79917227,15.3.4.4,1
1999/2001,"Peterborough, Ontario",35529,Females,Female breast cancer,Statistically different from total,v79917227,15.3.4.4,1
2000/2002,"Peterborough, Ontario",35529,Females,Female breast cancer,Statistically different from total,v79917227,15.3.4.4,1
2001/2003,"Peterborough, Ontario",35529,Females,Female breast cancer,Statistically different from total,v79917227,15.3.4.4,0
2002/2004,"Peterborough, Ontario",35529,Females,Female breast cancer,Statistically different from total,v79917227,15.3.4.4,0
2003/2005,"Peterborough, Ontario",35529,Females,Female breast cancer,Statistically different from total,v79917227,15.3.4.4,1
2004/2006,"Peterborough, Ontario",35529,Females,Female breast cancer,Statistically different from total,v79917227,15.3.4.4,0
2005/2007,"Peterborough, Ontario",35529,Females,Female breast cancer,Statistically different from total,v79917227,15.3.4.4,1
1996/1998,"Peterborough, Ontario",35529,Females,Female breast cancer,Statistically different from reference period five years previous,v79917228,15.3.4.5,..
1997/1999,"Peterborough, Ontario",35529,Females,Female breast cancer,Statistically different from reference period five years previous,v79917228,15.3.4.5,0
1998/2000,"Peterborough, Ontario",35529,Females,Female breast cancer,Statistically different from reference period five years previous,v79917228,15.3.4.5,0
1999/2001,"Peterborough, Ontario",35529,Females,Female breast cancer,Statistically different from reference period five years previous,v79917228,15.3.4.5,0
2000/2002,"Peterborough, Ontario",35529,Females,Female breast cancer,Statistically different from reference period five years previous,v79917228,15.3.4.5,0
2001/2003,"Peterborough, Ontario",35529,Females,Female breast cancer,Statistically different from reference period five years previous,v79917228,15.3.4.5,0
2002/2004,"Peterborough, Ontario",35529,Females,Female breast cancer,Statistically different from reference period five years previous,v79917228,15.3.4.5,0
2003/2005,"Peterborough, Ontario",35529,Females,Female breast cancer,Statistically different from reference period five years previous,v79917228,15.3.4.5,0
2004/2006,"Peterborough, Ontario",35529,Females,Female breast cancer,Statistically different from reference period five years previous,v79917228,15.3.4.5,0
2005/2007,"Peterborough, Ontario",35529,Females,Female breast cancer,Statistically different from reference period five years previous,v79917228,15.3.4.5,0
1996/1998,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79917229,16.1.1.1,421.8
1997/1999,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79917229,16.1.1.1,427.7
1998/2000,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79917229,16.1.1.1,440.6
1999/2001,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79917229,16.1.1.1,449.7
2000/2002,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79917229,16.1.1.1,447
2001/2003,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79917229,16.1.1.1,437.4
2002/2004,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79917229,16.1.1.1,427.5
2003/2005,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79917229,16.1.1.1,444
2004/2006,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79917229,16.1.1.1,440.7
2005/2007,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79917229,16.1.1.1,429.1
1996/1998,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),"Low 95% confidence interval, cancer incidence",v79917230,16.1.1.2,407
1997/1999,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),"Low 95% confidence interval, cancer incidence",v79917230,16.1.1.2,413.1
1998/2000,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),"Low 95% confidence interval, cancer incidence",v79917230,16.1.1.2,426
1999/2001,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),"Low 95% confidence interval, cancer incidence",v79917230,16.1.1.2,435.2
2000/2002,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),"Low 95% confidence interval, cancer incidence",v79917230,16.1.1.2,432.9
2001/2003,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),"Low 95% confidence interval, cancer incidence",v79917230,16.1.1.2,423.7
2002/2004,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),"Low 95% confidence interval, cancer incidence",v79917230,16.1.1.2,414.3
2003/2005,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),"Low 95% confidence interval, cancer incidence",v79917230,16.1.1.2,430.8
2004/2006,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),"Low 95% confidence interval, cancer incidence",v79917230,16.1.1.2,427.8
2005/2007,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),"Low 95% confidence interval, cancer incidence",v79917230,16.1.1.2,416.6
1996/1998,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79917231,16.1.1.3,437.1
1997/1999,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79917231,16.1.1.3,442.8
1998/2000,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79917231,16.1.1.3,455.6
1999/2001,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79917231,16.1.1.3,464.5
2000/2002,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79917231,16.1.1.3,461.5
2001/2003,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79917231,16.1.1.3,451.4
2002/2004,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79917231,16.1.1.3,441.1
2003/2005,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79917231,16.1.1.3,457.5
2004/2006,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79917231,16.1.1.3,453.9
2005/2007,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79917231,16.1.1.3,441.8
1996/1998,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),Statistically different from total,v79917232,16.1.1.4,1
1997/1999,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),Statistically different from total,v79917232,16.1.1.4,1
1998/2000,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),Statistically different from total,v79917232,16.1.1.4,1
1999/2001,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),Statistically different from total,v79917232,16.1.1.4,1
2000/2002,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),Statistically different from total,v79917232,16.1.1.4,1
2001/2003,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),Statistically different from total,v79917232,16.1.1.4,1
2002/2004,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),Statistically different from total,v79917232,16.1.1.4,1
2003/2005,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),Statistically different from total,v79917232,16.1.1.4,1
2004/2006,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),Statistically different from total,v79917232,16.1.1.4,1
2005/2007,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),Statistically different from total,v79917232,16.1.1.4,1
1996/1998,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79917233,16.1.1.5,..
1997/1999,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79917233,16.1.1.5,0
1998/2000,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79917233,16.1.1.5,0
1999/2001,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79917233,16.1.1.5,0
2000/2002,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79917233,16.1.1.5,0
2001/2003,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79917233,16.1.1.5,0
2002/2004,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79917233,16.1.1.5,0
2003/2005,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79917233,16.1.1.5,0
2004/2006,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79917233,16.1.1.5,0
2005/2007,"Oshawa, Ontario",35532,Both sexes,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79917233,16.1.1.5,0
1996/1998,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79917234,16.1.2.1,54.9
1997/1999,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79917234,16.1.2.1,57.6
1998/2000,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79917234,16.1.2.1,55.2
1999/2001,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79917234,16.1.2.1,58.8
2000/2002,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79917234,16.1.2.1,57.7
2001/2003,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79917234,16.1.2.1,56.9
2002/2004,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79917234,16.1.2.1,53.2
2003/2005,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79917234,16.1.2.1,52.8
2004/2006,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79917234,16.1.2.1,52.4
2005/2007,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79917234,16.1.2.1,51.3
1996/1998,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79917235,16.1.2.2,49.6
1997/1999,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79917235,16.1.2.2,52.3
1998/2000,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79917235,16.1.2.2,50.1
1999/2001,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79917235,16.1.2.2,53.6
2000/2002,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79917235,16.1.2.2,52.7
2001/2003,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79917235,16.1.2.2,52
2002/2004,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79917235,16.1.2.2,48.6
2003/2005,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79917235,16.1.2.2,48.3
2004/2006,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79917235,16.1.2.2,48
2005/2007,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer","Low 95% confidence interval, cancer incidence",v79917235,16.1.2.2,47.1
1996/1998,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer","High 95% confidence interval, cancer incidence",v79917236,16.1.2.3,60.7
1997/1999,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer","High 95% confidence interval, cancer incidence",v79917236,16.1.2.3,63.4
1998/2000,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer","High 95% confidence interval, cancer incidence",v79917236,16.1.2.3,60.7
1999/2001,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer","High 95% confidence interval, cancer incidence",v79917236,16.1.2.3,64.4
2000/2002,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer","High 95% confidence interval, cancer incidence",v79917236,16.1.2.3,63.2
2001/2003,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer","High 95% confidence interval, cancer incidence",v79917236,16.1.2.3,62.3
2002/2004,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer","High 95% confidence interval, cancer incidence",v79917236,16.1.2.3,58.2
2003/2005,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer","High 95% confidence interval, cancer incidence",v79917236,16.1.2.3,57.7
2004/2006,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer","High 95% confidence interval, cancer incidence",v79917236,16.1.2.3,57.1
2005/2007,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer","High 95% confidence interval, cancer incidence",v79917236,16.1.2.3,55.9
1996/1998,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Statistically different from total,v79917237,16.1.2.4,1
1997/1999,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Statistically different from total,v79917237,16.1.2.4,1
1998/2000,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Statistically different from total,v79917237,16.1.2.4,1
1999/2001,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Statistically different from total,v79917237,16.1.2.4,1
2000/2002,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Statistically different from total,v79917237,16.1.2.4,1
2001/2003,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Statistically different from total,v79917237,16.1.2.4,1
2002/2004,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Statistically different from total,v79917237,16.1.2.4,1
2003/2005,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Statistically different from total,v79917237,16.1.2.4,1
2004/2006,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Statistically different from total,v79917237,16.1.2.4,1
2005/2007,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Statistically different from total,v79917237,16.1.2.4,1
1996/1998,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Statistically different from reference period five years previous,v79917238,16.1.2.5,..
1997/1999,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Statistically different from reference period five years previous,v79917238,16.1.2.5,0
1998/2000,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Statistically different from reference period five years previous,v79917238,16.1.2.5,0
1999/2001,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Statistically different from reference period five years previous,v79917238,16.1.2.5,0
2000/2002,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Statistically different from reference period five years previous,v79917238,16.1.2.5,0
2001/2003,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Statistically different from reference period five years previous,v79917238,16.1.2.5,0
2002/2004,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Statistically different from reference period five years previous,v79917238,16.1.2.5,0
2003/2005,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Statistically different from reference period five years previous,v79917238,16.1.2.5,0
2004/2006,"Oshawa, Ontario",35532,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Statistically different from reference period five years previous,v79917238,16.1.2.5,0
